tid,distance_geometry_1_1,distance_geometry_2_1,distance_geometry_2_2,distance_geometry_3_1,distance_geometry_3_2,distance_geometry_3_3,distance_geometry_4_1,distance_geometry_4_2,distance_geometry_4_3,distance_geometry_4_4,distance_geometry_5_1,distance_geometry_5_2,distance_geometry_5_3,distance_geometry_5_4,distance_geometry_5_5,angles_0s,angles_mean,angles_meanse,angles_quant_min,angles_quant_05,angles_quant_10,angles_quant_25,angles_quant_median,angles_quant_75,angles_quant_90,angles_quant_95,angles_quant_max,angles_range,angles_sd,angles_vcoef,angles_mad,angles_iqr,angles_skew,angles_kurt,speed_0s,speed_mean,speed_meanse,speed_quant_min,speed_quant_05,speed_quant_10,speed_quant_25,speed_quant_median,speed_quant_75,speed_quant_90,speed_quant_95,speed_quant_max,speed_range,speed_sd,speed_vcoef,speed_mad,speed_iqr,speed_skew,speed_kurt,acceleration_0s,acceleration_mean,acceleration_meanse,acceleration_quant_min,acceleration_quant_05,acceleration_quant_10,acceleration_quant_25,acceleration_quant_median,acceleration_quant_75,acceleration_quant_90,acceleration_quant_95,acceleration_quant_max,acceleration_range,acceleration_sd,acceleration_vcoef,acceleration_mad,acceleration_iqr,acceleration_skew,acceleration_kurt,label
116,0.008329254083029588,0.00041134440377417334,0.011551865185266623,0.00044917943216405245,0.03770258468721096,0.021770026233892365,0.001527103361004142,0.002055442155959764,0.019990915059537668,0.02502157356595918,0.0008525342038331929,0.00048694249465826403,0.00043190908919051203,0.030652528362834986,0.06744683574459304,0,115.8204073880422,1.5182751413306412,0.16525928511323154,8.121514820756687,18.82989759021326,53.67317404783516,145.0360346300029,169.25618137576222,177.07147375577298,178.6122946919291,179.99583990627656,179.83058062116334,61.42919457089667,0.5303831678392014,31.66542199022703,115.58300732792706,-0.6247272525620302,-1.194808144397562,1,7.858844715967242,1.2457315285389372,0.0,0.030708507462154377,0.08064439684664823,0.3304198858796257,1.0202021589968127,3.1695369668461346,9.25262655522695,20.63742390102805,1354.8759013187866,1354.8759013187866,50.43289898984763,6.417342600927126,0.8650497376684365,2.839117080966509,16.769292640991708,360.91071341984815,0,-0.0006052459246059687,0.0005281326207687511,-0.5293666456950636,-0.0037970678682696666,-0.0014818045039596628,-0.0002490842536343596,-6.08979373846434e-07,0.00020380609132101117,0.0017408845605510594,0.004560428696878341,0.19508592027358554,0.7244525659686492,0.021381219393004552,-35.32649874003579,0.00022551140663322852,0.00045289034495537075,-14.67389637027724,327.3044182369093,F
118,0.003836783856446123,9.679193392310542e-05,0.014553951408415984,0.00020098985680611547,0.0019114043053399948,0.020971908430276933,0.0005830992665818147,0.00013801692148430073,0.00040901737894529655,0.02599836287044124,0.0007584438180684197,0.0002886175680039966,0.001088260409098346,0.0013075729178167637,0.029879689354394157,1,113.78745851412938,0.8901007873672943,0.0,8.280328790287982,18.156728289908727,54.48883062812729,138.32770159373388,167.91718211838895,176.52150990027187,178.71148019418953,180.0,180.0,60.448264215200574,0.5312383720012035,36.619386124781784,113.42835149026166,-0.5644914468088854,-1.222404090263698,0,8.002770395442548,1.2016654732951486,0.0003068016147722312,0.04345116793455232,0.10019489226095227,0.3334184103157478,1.0000701935769953,2.902570622561841,8.624458460643355,18.664311339137342,3201.722019529718,3201.7217127281033,81.60715399755664,10.197362908728536,0.8282654361217603,2.5691522122460935,29.435441465172413,991.4240069622892,0,0.00031418235304962283,0.0005072060540948004,-1.6971229699676087,-0.0032091282674467417,-0.0014007952284500055,-0.00024562954042510975,6.087768275374749e-07,0.0002654730026439482,0.001614688156965468,0.004648663259989002,0.816191683653323,2.513314653620932,0.03444522912978873,109.63451255439657,0.0002542336841132,0.000511102543069058,-21.40809507825643,1433.4418394321476,M
125,0.00016300769780201786,1.8696970405343977e-05,0.00042008922982856857,3.492903433199419e-05,0.00012030526393286486,0.0005391497421547542,0.003568121098703289,0.002321445454896337,0.001135521636788927,0.00038131204165551207,0.0012522513795863149,0.00020254848226292186,0.00025052714760835664,0.0004057821284848422,0.000965316944489248,0,115.89907117669901,0.9992311729238937,0.0007900612996744393,8.704124004767609,19.052252048625366,59.54922900255179,140.90364919805518,168.66198574365683,177.29286071907367,178.91250037903262,179.99847717485036,179.99768711355068,59.97052191592285,0.5174374678507316,35.156247846248306,109.11275674110504,-0.6141689598510198,-1.1410939162477212,0,32.747677589543734,3.963508165433622,0.001793241478906591,0.06231621433844687,0.20695425526594532,0.6967608774955548,2.1313549883433995,6.861475624220753,21.69974234685724,63.16003467932519,7655.905961524602,7655.904168283124,237.87653922320143,7.263920886382334,1.7974203164860099,6.164714746725198,16.749507591653042,390.898117823169,0,6.258697479418893e-05,0.0020379327363852532,-4.569431291971752,-0.009096381530777615,-0.0031950614673307053,-0.0005697831079288712,-1.6479164938695775e-06,0.000533372030398263,0.0032093563297634544,0.009011277767853166,2.4060493836888277,6.97548067566058,0.12230992501259468,1954.2392872446503,0.0005473893672872693,0.0011031551383271342,-13.67891397072632,640.6616598607412,F
131,0.00011982159863349647,0.0001480633229767066,0.00017808732981684729,0.0004425170586861917,0.0157152066406685,0.04310434231439761,0.00011265558621602662,0.00023439625310662994,6.538337803836505e-05,0.0005901872428178088,0.0004171491875026661,0.0013999305092655466,0.009786894397863951,0.00133178876824895,0.0011582935724733486,0,114.23637166094153,1.4611619575893717,0.15475154721732812,8.47741492625719,18.21239105368527,55.96351480610756,139.48948172808664,169.13751706128573,176.50636542893096,178.41791521224667,179.99704474246917,179.84229319525184,60.29838501585103,0.5278387622010549,36.111812916917785,113.17400225517818,-0.5568941685964176,-1.2235645522842882,2,15.742181471082338,4.881739845854625,0.0,0.036498096149340756,0.08685817106389668,0.33394748085906323,1.0303716589793013,3.1036042191515962,8.930261062853385,17.595236488459015,6560.5455887769185,6560.5455887769185,201.6932630404057,12.812281665721294,0.8830029827972535,2.7696567382925332,25.29453109147205,729.8230456025681,0,0.0026458035089266772,0.0023394396819756825,-1.4298297474323793,-0.002954979717749608,-0.0013979639776403724,-0.0002651763853211554,-3.6437120664569026e-07,0.00027028616874204573,0.0014889552937214217,0.003801816009041309,3.269289595933793,4.699119343366172,0.09665595423823324,36.53179607333866,0.00026861315698964666,0.0005354625540632011,22.344698771174432,808.4506074453124,F
144,0.00019934108274313327,0.0007749440287192664,0.0002019212410948492,0.0004629882700009068,0.0005041501182803599,0.0005907627269804253,0.00035326866405583404,0.00026964350534554066,0.0009722406556823208,0.0034577788023387114,0.00252269647495562,0.0008111962547806479,0.0010656318235763922,0.0002880827747741722,0.00048550207245095644,0,115.53499302374391,1.417272979986592,0.12571002916459095,9.16348465835032,18.214433906440753,58.238530912987564,140.60103856459068,169.48383323471754,177.37801294258523,178.99420396150504,179.9960947937037,179.8703847645391,60.661932593956614,0.5250524625166145,35.70444035421694,111.24530232172998,-0.5893185203996637,-1.1885129662385299,0,7.673311433768303,1.422518130331679,0.0019481259702048166,0.036941448813783306,0.10090892995333253,0.4335155599942975,1.2430214032946982,3.757741463352856,10.16759488415578,20.58018995384022,2294.562936228684,2294.560988102714,60.886434832531606,7.934831703113965,1.0542617237469794,3.3242259033585584,30.309727674529626,1093.995912546263,0,9.630472758376082e-05,0.0006416788604258646,-1.0533373517664946,-0.0033923743861739753,-0.0014490517646240058,-0.0002679050827352695,1.339823229389967e-06,0.00034332869843735814,0.00180751499162994,0.004668893381114945,0.3034715513364535,1.356808903102948,0.027465054599777206,285.18905861490066,0.00030508491072749934,0.0006112337811726276,-29.940178929813253,1188.3896851420868,M
161,1.877697917383186e-05,0.00018143078497534758,3.3142875273319144e-05,0.0003163440066740659,0.06636722807353705,0.031681145554530526,0.0005311843843069938,0.004571875638016939,0.00028447495426425946,0.0023505503995508302,0.00032744071082303414,0.011500597648001628,0.0032837900612805284,5.160163155789722e-05,0.00016708512185437905,0,113.97609627556554,1.5241340574922728,1.2074182697257333e-06,8.173487536583558,17.343421302002305,54.95036660748699,137.41743600210867,168.83564264205447,176.6969746477559,178.78714849061066,179.99924193986524,179.99924073244696,60.69805281538827,0.5325507259753453,37.776989055948306,113.88527603456748,-0.5569660391580344,-1.2290297013899283,0,44.49838866166451,9.817558104566743,0.00044919229298690286,0.0417131467411242,0.09752906332629974,0.3709670067786008,1.2666613052701525,4.66413372294552,13.80440992172149,36.899711566919365,8912.064056969002,8912.063607776709,390.98047669744204,8.786396282125894,1.1125826388487745,4.293166716166919,15.291236386354006,283.1580566463151,0,-0.006318981309508938,0.003931635658770354,-3.497170757553015,-0.00668790277681418,-0.002247397619560427,-0.00031719929937039837,2.2627121811175558e-08,0.0002979999819343016,0.002082243374633659,0.005494324454810063,0.9725692704771259,4.469740028030141,0.15657587841029968,-24.778658258520398,0.0003058403438618428,0.0006151992813046999,-14.253386761680959,287.39851530412363,M
166,0.00039249577038784225,2.76016157577916e-05,0.0010242676445896988,3.574659716087396e-05,2.0682319996005926e-05,0.0011915710206824163,0.00014813899566990384,9.021698301525126e-05,0.0029559120101792513,0.0020511937402952376,0.0006765388872231812,0.00019294731842652515,0.0005151181816923436,0.0006343528991949931,0.0014611328889770456,0,113.54655810108493,1.029775538079343,0.0605469035170427,6.912284828636572,15.026889609424307,51.36369552289089,139.71149458471842,169.78117083120276,177.61092372628605,179.1847556137124,179.9970656353727,179.93651873185567,62.4098351293296,0.5496409241552631,37.0604946114548,118.41747530831186,-0.5500778044888581,-1.2788987477645393,0,28.577558297383437,3.2631509863958668,6.584046882469356e-05,0.040298772066613184,0.11494622953857142,0.4950222410782623,1.7377503324785286,5.696066829234667,20.39802744360931,53.003758681374904,4482.434519885654,4482.434454045185,197.76418018523967,6.920261630726757,1.541766185249159,5.201044588156405,13.543180611736712,224.43512366840216,0,-0.00024764101809733726,0.0018095477632556348,-2.253705552537845,-0.008530926729636729,-0.0030067756303839106,-0.00045275359327170804,2.830302351371258e-07,0.00040644709757786164,0.0031848872060993207,0.009137785167771606,2.9795140238077873,5.233219576345633,0.10966814940473943,-442.8513105273759,0.0004310523241655699,0.0008592006908495697,1.5936556577446799,332.99362781766064,M
168,0.0003337348535925099,2.4762101492453135e-05,0.0005836466036996391,5.489609183082609e-05,2.1722339964398775e-05,0.0020978777549952262,3.6290980815418764e-05,4.027243576974722e-05,0.00017550413597241005,0.0022727101291028697,1.1540737154504004e-05,0.0007937069540383059,3.9697926143930796e-05,0.005690507414527606,0.0008833422164622478,0,114.73213484538843,0.7529378864625582,0.024002211973718306,8.526458358726126,18.259072654372183,56.70231824787451,139.97996284870445,168.74061267466854,177.00018151902603,178.8216786007346,180.0,179.9759977880263,60.69445332761335,0.5290100581620348,35.87359788642033,112.03829442679404,-0.5837133571270603,-1.203626625751244,0,42.53288378191744,5.295912864563604,0.00016286349061102198,0.0360585526110161,0.09233696482538502,0.382325612235014,1.1572508659253393,3.6411121823802333,11.64515039338891,30.567700430804468,9133.765465151244,9133.765302287753,426.9044524980838,10.03704462380186,0.9853207124235901,3.258786570145219,14.98744759825253,250.58871326346258,0,0.0003807800526478031,0.004183965081534668,-6.258030638906741,-0.0047089776445885575,-0.0017256067251509592,-0.0003054675125103106,5.743082618101368e-07,0.0003180952321683569,0.0019515655004934075,0.005806730490188181,12.796951302296232,19.054981941202975,0.33727014927970145,885.7348144537773,0.0003124969784398016,0.0006235627446786675,14.696618323796486,627.643674120436,F
183,0.007165164100069347,0.00019928058176943086,0.057351619468062054,2.309604929780577e-05,0.00019148859570770934,0.09127476727869904,7.168868438181132e-05,0.00016651501753625552,0.00013222684464141455,0.12410842932854241,4.2117971612013864e-05,7.580459563759938e-05,0.0004758074926919742,0.0006479797088507314,0.14756965327902336,0,115.41799764493761,0.5813225470318015,0.008736890580588423,9.166884117392106,18.72973485698239,58.406312473156234,140.4556387680228,168.82491971409297,176.72563499136754,178.59744602757783,180.0,179.9912631094194,60.2110984350887,0.5216785914127288,35.09558543679215,110.41860724093674,-0.6049031317404946,-1.1692533848115167,0,19.290212933580012,3.294711219389993,0.00033065503810446393,0.041944361405609545,0.0987745627902772,0.45495389161886124,1.5023895178599704,4.491555625714475,11.907656128013716,22.845303309130582,19876.38765085228,19876.387320197242,341.25320367976303,17.690484021859415,1.3028384726255413,4.036601734095614,38.25661127582586,1779.5607008567983,0,-0.00018812404030876508,0.0024612624511119317,-14.086423428385693,-0.005159520656401923,-0.0021589100669449526,-0.0003714966910290435,-3.43329378257983e-07,0.00036307948634705154,0.0023731760904177864,0.005494833178162407,14.395525687708915,28.481949116094608,0.2549278648749558,-1355.1051979138158,0.0003676810382500155,0.0007345761773760951,4.733887651428021,2008.1613740498085,M
184,0.0006173279492909037,8.966496726418918e-05,0.0015206822220617568,9.66590349916998e-05,0.0002987908740103911,0.002023632590576175,0.00010095907749649915,0.00035604153520722644,5.7034128047618925e-05,0.002101987707660466,0.0020513124561012223,0.003959626231374364,0.0005502229422569832,0.0010704963515598873,0.002182259222523554,0,113.55920223957507,0.7571721907262832,0.033169219346552585,8.859617475723265,18.479066574958367,52.449741093542926,138.3319289915429,168.22575954639512,176.82451975537987,178.73519511341647,179.9994224229171,179.96625320357055,60.908843689518406,0.5363620251665685,37.303438389615394,115.7760184528522,-0.5418811502222114,-1.2703415328555274,0,11.085011225440036,1.6631325173270053,8.053372379495317e-05,0.04193055783417346,0.11161953045612152,0.3687346216105656,1.1742300189293389,4.049268575503433,15.197558372006146,32.235349853000706,8467.354422618659,8467.354342084935,133.78658087753973,12.06914257069044,1.0083893801424662,3.6805339538928674,46.60481862738425,2647.775254078688,0,0.000703880568225852,0.0016290581488134397,-3.36873896561659,-0.006496146387816943,-0.0023964715467112057,-0.00033779686992240995,-4.955787964968937e-07,0.00029843261811016137,0.0023646177277649462,0.006337015528137929,9.007643968081855,12.376382933698444,0.13104555260017914,186.17583510009746,0.0003179060131658168,0.0006362294880325713,47.41514991348437,3549.265730058337,M
201,0.0013175493335899743,0.001273123435197682,0.0028023254899271046,0.0008039254767973742,0.0055869126606887575,0.009617308041543385,0.0025713181925366927,0.0010477938776336257,0.00772382797252126,0.012783125399845162,0.0024380812800634554,0.0005650417049842315,0.0021238495953075053,0.006594854827977833,0.012427202871117997,0,114.71027518470306,1.8561128031475485,0.07723635409836623,9.490327409819333,19.256961278621347,55.59065717393813,141.20775840302565,168.84496759252528,177.3535698496572,178.98888367505293,179.99228714472852,179.91505079063015,60.71503577919416,0.5292902983750376,35.71085724240906,113.25431041858715,-0.5538888029446857,-1.256955978461009,0,13.558719169690425,3.1776188579140925,0.0030450175609475333,0.04531290402064438,0.1293790894124556,0.5221139040090271,1.370194957388395,3.829759262857977,11.12217983341878,23.46087524005857,1910.2571954933828,1910.254150475822,103.94262801470457,7.666109660790164,1.1221601911128498,3.3076453588489496,13.902126484895655,212.3503859548105,0,0.0008919206917656424,0.0017350978131550822,-0.7585188615068563,-0.004277472977848245,-0.0017807754724681554,-0.0003191367562772923,3.2402510905918057e-07,0.00038569365650664624,0.002239625140359862,0.005457415299441589,1.359177225950012,2.117696087456868,0.05675653205315346,63.63405690342094,0.0003558597733924923,0.0007048304127839386,10.469554704499453,347.90745621834947,F
215,0.0002476840434285161,0.010084937126796867,0.003469146311494325,0.001769231259043272,0.00238253799064999,0.007204291665608771,0.004781975961676843,0.014244273991624805,0.003726541297962204,0.002892798918293003,0.0027162523477936673,0.0016547482885085072,0.004880096189425713,0.001862995382911531,0.004325889768639263,0,114.5175767087336,1.4544224943522013,0.03245503746725201,12.01793492992493,19.853880728245926,55.691912209621265,136.6521078879789,167.81359167828248,176.6725079889642,178.75578192969886,180.0,179.96754496253274,59.578087927579084,0.5202527824974086,37.877353710694976,112.12167946866121,-0.5653935677178498,-1.2119540321575868,0,9.431123092827841,1.5031716135854132,0.0013843640499008089,0.044906826574066284,0.11837118730482132,0.39891515533949296,1.2396903357746318,3.857077538774893,11.350661557043699,22.155122881644186,1391.9994621460112,1391.9980777819612,61.57501751533409,6.528916748224876,1.0374230685829668,3.4581623834354,15.037795563139408,265.2673524755455,0,-0.0002518863378362766,0.0010436316454613761,-0.8468478594878991,-0.003931613146785492,-0.0016335929360230571,-0.00031950183592094697,-1.175035937005836e-06,0.0002726652989752906,0.0018069620475655436,0.0055253997120975245,0.9498370294801912,1.7966848889680902,0.042750698767895334,-169.72218158049856,0.0002961069194899733,0.0005921671348962376,-3.275160097976145,320.67954870965326,M
217,0.001790731313756527,0.00027117336386134187,0.002542328887395025,0.007904876559519991,0.016906310303789064,0.002687567248224035,0.0009721498679729654,0.00044527911226411687,0.00167340156634047,0.002704142249114589,0.0019792042899720455,0.003168856101353453,0.0013028110357283442,0.0003486592388765643,0.003452318251385251,0,116.78469001080288,1.95486861927119,0.11389093002124179,8.080304861376714,16.214174384593118,57.18092720326099,144.46763760446146,170.42803418894766,177.68318928058298,178.99233025118758,179.9990308608538,179.88513993083257,61.539562207930494,0.5269488851855318,32.67418733214069,113.24710698568667,-0.6339706991387972,-1.1697432333015854,0,45.71551386944126,10.003817542591603,0.0023764951143356774,0.05996173858596299,0.21034153443023007,0.7130392284851902,2.5528058424911393,8.197146890634485,30.69523050745538,110.33937755868892,6916.620254043532,6916.617877548418,314.9217015968165,6.888727150616748,2.2047225321002455,7.484107662149295,14.447876870661203,262.8299093246072,0,0.0019604590079782573,0.0037637915806788165,-1.283766187763233,-0.010084237487528954,-0.0032880307352255236,-0.0005677123775848497,4.60833363604838e-06,0.000721758753837484,0.004751593245464578,0.024058352881810876,1.7010415043617657,2.9848076921249986,0.11848473285290238,60.43724065166297,0.000645006738940147,0.0012894711314223339,1.3073129476190555,93.15483637091606,F
247,5.096611176260387e-05,0.00015044223571757123,0.00017219005037773168,0.00023845509872407944,0.003173025036095544,0.000628234263042788,0.00011961583554147021,0.00017261161039525995,0.0022420605222339125,0.0008146540911375905,0.00017120327039120629,1.1632525969306452e-05,0.0005088838737597887,0.0001908876079074202,0.00034066701007148136,0,116.20712320886595,0.8436359996417355,0.0039434484027808595,8.701808658795079,17.05590430782528,52.20321006455733,145.68938156804555,171.32620035286968,177.96282234772613,179.21916984558533,179.99801349713275,179.99407004872995,62.28068130976676,0.535945470380727,31.912634791058565,119.12299028831234,-0.611488644527135,-1.2320232988706263,0,8.721324592376812,1.104476004511835,0.0016386844382501571,0.04277003626136572,0.10612322964356537,0.349684341573167,1.2180333162985857,5.653449721307121,18.290744120340477,30.771943509343288,5392.411115992766,5392.409477308328,81.53696390445394,9.349149093215068,1.0805600161818358,5.303765379733954,54.84837472238846,3511.8983069705514,0,0.0008010499280468207,0.0008022858592166946,-0.6031180357733322,-0.01047760759965065,-0.004090302479854218,-0.0004335665862387731,-2.3258230417865972e-08,0.0004696673139709207,0.004163151221953136,0.00996949659701944,4.102689159226603,4.705807194999935,0.059228043775309096,73.9380177209719,0.00044854263723147995,0.0009032339002096938,60.88394271494573,4224.424631754223,M
248,0.0014364217692628904,0.0024518709064142766,7.945706093181884e-05,0.003585916873812494,0.00011749476510624286,0.00023488124204016858,0.005221238045436356,0.0001783035971925769,0.0004421737236017185,0.0007937041598903358,0.00723289008298897,0.002742733100426629,0.015426495057241031,0.019946804994189944,0.0005263265915654295,0,119.07431956576788,1.2519148593255032,0.19545031007145544,11.543882247879155,23.248076967234827,66.74174688826626,142.24071663404325,170.24173714159716,177.16764788743725,179.07837137750485,179.99795473252726,179.8025044224558,58.358572129508,0.49010208365939917,33.32757916842499,103.49999025333089,-0.6780241018743902,-1.0244956846819295,0,22.650739279575827,3.6131245766528233,0.0008807244720938298,0.04612945899719548,0.13801543053810728,0.6192703273401658,2.1097022763237168,6.4021266142885755,18.20504442271309,39.89702495169691,3383.9839731636125,3383.9830924391404,168.42742112118998,7.435846532084761,1.8164783472732653,5.78285628694841,13.732547577957797,208.36834709429905,0,-0.0008684869347997457,0.002231084609980414,-2.192534086108525,-0.006558462886982024,-0.0028282572070633363,-0.0005165283303306956,1.3782423949083239e-06,0.0005320428122183252,0.0037692848198499517,0.011522171644977233,1.867784382387482,4.060318468496007,0.10400300880582801,-119.75195554301442,0.0005214887306356533,0.0010485711425490206,-6.764081753932474,271.3868767850472,F
